instance_hash,config_hash_toml,instance_data_file,scenarios,aggregation_criterion,first_stage_weight_proportion,queue_length,one_scenario_strategy,cumulative_sum_objective_first_stage_earliest,cumulative_sum_objective_first_stage_treatment_range,cumulative_sum_objective_first_stage,mean_gap,kpi_waiting_times,kpi_count_violated,difference_to_deterministic,kpi_diff_wt,kpi_diff_cv
135224002065681560,11579181127175267119,simulations/instances/instance_135224002065681560.csv,1,AVG,0.8,LIMITED,AVERAGE_SCENARIO,46000.0,1658000.0,1704000.0,0.025158284367675168,5,0,-0.02346866932644919,25.0,
3616442042494646722,18011162426279980739,simulations/instances/instance_3616442042494646722.csv,5,MAX,0.8,LIMITED,EARLIEST,53600.0,1779800.0,1833400.0,7.872981002182084,9,6,0.42725679228746716,80.0,inf
3616442042494646722,18011162426279980739,simulations/instances/instance_3616442042494646722.csv,5,MAX,0.8,LIMITED,EARLIEST,53600.0,1779800.0,1833400.0,7.872981002182084,9,6,0.42725679228746716,80.0,inf
10987222697483944105,1957999981915079326,simulations/instances/instance_10987222697483944105.csv,5,MAX,0.8,LIMITED,EARLIEST,76800.0,1687000.0,1763800.0,5.66019589994194,14,3,-0.6197881451431148,-39.130434782608695,-50.0
10987222697483944105,1957999981915079326,simulations/instances/instance_10987222697483944105.csv,5,MAX,0.8,LIMITED,EARLIEST,76800.0,1687000.0,1763800.0,5.66019589994194,14,3,-0.6197881451431148,-39.130434782608695,-50.0
15681825288749210743,10098288412621794956,simulations/instances/instance_15681825288749210743.csv,2,MAX,0.8,LIMITED,EARLIEST,105600.0,1771800.0,1877400.0,0.7712441872665868,24,3,1.645912290200325,100.0,inf
15681825288749210743,10098288412621794956,simulations/instances/instance_15681825288749210743.csv,2,MAX,0.8,LIMITED,EARLIEST,105600.0,1771800.0,1877400.0,0.7712441872665868,24,3,1.645912290200325,100.0,inf
17870085318395153772,3357496621147993725,simulations/instances/instance_17870085318395153772.csv,1,AVG,0.8,LIMITED,EARLIEST,42800.0,1797600.0,1840400.0,0.6005622104497986,9,0,-0.7014136182151721,-43.75,
17870085318395153772,3357496621147993725,simulations/instances/instance_17870085318395153772.csv,1,AVG,0.8,LIMITED,EARLIEST,42800.0,1797600.0,1840400.0,0.6005622104497986,9,0,-0.7014136182151721,-43.75,
6096551986938506664,956863755517333001,simulations/instances/instance_6096551986938506664.csv,5,MAX,0.8,LIMITED,EARLIEST,97600.0,1834600.0,1932200.0,8.667696383351965,17,12,-0.31985142385472554,-19.047619047619047,inf
6096551986938506664,956863755517333001,simulations/instances/instance_6096551986938506664.csv,5,MAX,0.8,LIMITED,EARLIEST,97600.0,1834600.0,1932200.0,8.667696383351965,17,12,-0.31985142385472554,-19.047619047619047,inf
9707043526940373274,9040322476158807259,simulations/instances/instance_9707043526940373274.csv,1,MAX,0.8,LIMITED,EARLIEST,68800.0,1612400.0,1681200.0,0.4696949865635767,11,0,-0.23736055067647754,-15.384615384615385,
9707043526940373274,9040322476158807259,simulations/instances/instance_9707043526940373274.csv,1,MAX,0.8,LIMITED,EARLIEST,68800.0,1612400.0,1681200.0,0.4696949865635767,11,0,-0.23736055067647754,-15.384615384615385,
9707043526940373274,15930475880771043350,simulations/instances/instance_9707043526940373274.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,93200.0,1618800.0,1712000.0,11.514776032466543,26,13,1.5903156895323998,100.0,inf
9707043526940373274,15930475880771043350,simulations/instances/instance_9707043526940373274.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,93200.0,1618800.0,1712000.0,11.514776032466543,26,13,1.5903156895323998,100.0,inf
15681825288749210743,11967526639499734920,simulations/instances/instance_15681825288749210743.csv,1,MAX,0.8,LIMITED,EARLIEST,80000.0,1770000.0,1850000.0,0.6865047399977027,12,3,0.16242555495397942,0.0,inf
15681825288749210743,11967526639499734920,simulations/instances/instance_15681825288749210743.csv,1,MAX,0.8,LIMITED,EARLIEST,80000.0,1770000.0,1850000.0,0.6865047399977027,12,3,0.16242555495397942,0.0,inf
2192742545724921127,7161094506219957374,simulations/instances/instance_2192742545724921127.csv,10,AVG,0.8,LIMITED,EARLIEST,165600.0,1956200.0,2121800.0,20.031873797679093,64,103,4.2243835347283625,113.33333333333333,5050.0
2192742545724921127,7161094506219957374,simulations/instances/instance_2192742545724921127.csv,10,AVG,0.8,LIMITED,EARLIEST,165600.0,1956200.0,2121800.0,20.031873797679093,64,103,4.2243835347283625,113.33333333333333,5050.0
10397321157149497167,2317609003076468454,simulations/instances/instance_10397321157149497167.csv,2,AVG,0.8,LIMITED,EARLIEST,50800.0,1812200.0,1863000.0,1.885154709069263,13,8,-0.4169339320076972,-43.47826086956522,166.66666666666669
10397321157149497167,2317609003076468454,simulations/instances/instance_10397321157149497167.csv,2,AVG,0.8,LIMITED,EARLIEST,50800.0,1812200.0,1863000.0,1.885154709069263,13,8,-0.4169339320076972,-43.47826086956522,166.66666666666669
135224002065681560,11762554162467787058,simulations/instances/instance_135224002065681560.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,44000.0,1659000.0,1703000.0,2.4396222585217053,3,2,-0.08214034264257217,-25.0,inf
135224002065681560,11762554162467787058,simulations/instances/instance_135224002065681560.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,44000.0,1659000.0,1703000.0,2.4396222585217053,3,2,-0.08214034264257217,-25.0,inf
16060245573606360052,6147131008403437578,simulations/instances/instance_16060245573606360052.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,70000.0,1831400.0,1901400.0,1.4795727273972978,14,3,0.24251370729649938,-12.5,50.0
16060245573606360052,6147131008403437578,simulations/instances/instance_16060245573606360052.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,70000.0,1831400.0,1901400.0,1.4795727273972978,14,3,0.24251370729649938,-12.5,50.0
9707043526940373274,1607385900206120629,simulations/instances/instance_9707043526940373274.csv,2,MAX,0.8,LIMITED,EARLIEST,78000.0,1613600.0,1691600.0,0.5216372153123168,17,3,0.3797768810823641,30.76923076923077,inf
9707043526940373274,1607385900206120629,simulations/instances/instance_9707043526940373274.csv,2,MAX,0.8,LIMITED,EARLIEST,78000.0,1613600.0,1691600.0,0.5216372153123168,17,3,0.3797768810823641,30.76923076923077,inf
16060245573606360052,9517247990061057126,simulations/instances/instance_16060245573606360052.csv,2,MAX,0.8,LIMITED,EARLIEST,101200.0,1832400.0,1933600.0,1.2302513586831025,29,2,1.940109658371995,81.25,0.0
16060245573606360052,9517247990061057126,simulations/instances/instance_16060245573606360052.csv,2,MAX,0.8,LIMITED,EARLIEST,101200.0,1832400.0,1933600.0,1.2302513586831025,29,2,1.940109658371995,81.25,0.0
16060245573606360052,4565809919893347795,simulations/instances/instance_16060245573606360052.csv,5,AVG,0.8,LIMITED,EARLIEST,57600.0,1832200.0,1889800.0,7.890546110862252,11,1,-0.36904259805989037,-31.25,-50.0
16060245573606360052,4565809919893347795,simulations/instances/instance_16060245573606360052.csv,5,AVG,0.8,LIMITED,EARLIEST,57600.0,1832200.0,1889800.0,7.890546110862252,11,1,-0.36904259805989037,-31.25,-50.0
16060245573606360052,13418042325248968466,simulations/instances/instance_16060245573606360052.csv,10,AVG,0.8,LIMITED,EARLIEST,129200.0,1853400.0,1982600.0,15.628303499936319,44,58,4.523407844791228,175.0,2800.0
16060245573606360052,13418042325248968466,simulations/instances/instance_16060245573606360052.csv,10,AVG,0.8,LIMITED,EARLIEST,129200.0,1853400.0,1982600.0,15.628303499936319,44,58,4.523407844791228,175.0,2800.0
12766632818714929165,13399580177478076655,simulations/instances/instance_12766632818714929165.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,76400.0,1749800.0,1826200.0,0.0,14,0,0.0,0.0,
12766632818714929165,13399580177478076655,simulations/instances/instance_12766632818714929165.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,76400.0,1749800.0,1826200.0,0.0,14,0,0.0,0.0,
9707043526940373274,11435769570568487853,simulations/instances/instance_9707043526940373274.csv,5,MAX,0.8,LIMITED,AVERAGE_SCENARIO,61600.0,1615200.0,1676800.0,7.6743400527478185,9,5,-0.49845715642060295,-30.76923076923077,inf
9707043526940373274,11435769570568487853,simulations/instances/instance_9707043526940373274.csv,5,MAX,0.8,LIMITED,AVERAGE_SCENARIO,61600.0,1615200.0,1676800.0,7.6743400527478185,9,5,-0.49845715642060295,-30.76923076923077,inf
2192742545724921127,12713971805425684601,simulations/instances/instance_2192742545724921127.csv,1,AVG,0.8,LIMITED,EARLIEST,78400.0,1915800.0,1994200.0,0.8014441882180834,14,0,-2.0434227330779056,-53.333333333333336,-100.0
2192742545724921127,12713971805425684601,simulations/instances/instance_2192742545724921127.csv,1,AVG,0.8,LIMITED,EARLIEST,78400.0,1915800.0,1994200.0,0.8014441882180834,14,0,-2.0434227330779056,-53.333333333333336,-100.0
17870085318395153772,8619587192060728138,simulations/instances/instance_17870085318395153772.csv,10,MAX,0.8,LIMITED,EARLIEST,78000.0,1812200.0,1890200.0,16.491883947143354,29,31,1.9855400884860257,81.25,inf
17870085318395153772,8619587192060728138,simulations/instances/instance_17870085318395153772.csv,10,MAX,0.8,LIMITED,EARLIEST,78000.0,1812200.0,1890200.0,16.491883947143354,29,31,1.9855400884860257,81.25,inf
9707043526940373274,9232095892177422681,simulations/instances/instance_9707043526940373274.csv,5,MAX,0.8,LIMITED,EARLIEST,79600.0,1617000.0,1696600.0,5.8818953881372,17,9,0.6764775694279611,30.76923076923077,inf
9707043526940373274,9232095892177422681,simulations/instances/instance_9707043526940373274.csv,5,MAX,0.8,LIMITED,EARLIEST,79600.0,1617000.0,1696600.0,5.8818953881372,17,9,0.6764775694279611,30.76923076923077,inf
15681825288749210743,9181786185292467000,simulations/instances/instance_15681825288749210743.csv,5,AVG,0.8,LIMITED,EARLIEST,90000.0,1771000.0,1861000.0,8.271827475424512,17,2,0.7579859231185706,41.66666666666667,inf
15681825288749210743,9181786185292467000,simulations/instances/instance_15681825288749210743.csv,5,AVG,0.8,LIMITED,EARLIEST,90000.0,1771000.0,1861000.0,8.271827475424512,17,2,0.7579859231185706,41.66666666666667,inf
135224002065681560,9375507448784201947,simulations/instances/instance_135224002065681560.csv,1,AVG,0.8,LIMITED,EARLIEST,52000.0,1658400.0,1710400.0,0.5221925111219929,7,0,0.35203003989673787,75.0,
135224002065681560,9375507448784201947,simulations/instances/instance_135224002065681560.csv,1,AVG,0.8,LIMITED,EARLIEST,52000.0,1658400.0,1710400.0,0.5221925111219929,7,0,0.35203003989673787,75.0,
135224002065681560,5222506124259031344,simulations/instances/instance_135224002065681560.csv,10,MAX,0.8,LIMITED,EARLIEST,62000.0,1683600.0,1745600.0,12.843318378821724,20,52,2.4172729406242666,400.0,inf
135224002065681560,5222506124259031344,simulations/instances/instance_135224002065681560.csv,10,MAX,0.8,LIMITED,EARLIEST,62000.0,1683600.0,1745600.0,12.843318378821724,20,52,2.4172729406242666,400.0,inf
135224002065681560,11853018249527024046,simulations/instances/instance_135224002065681560.csv,1,MAX,0.8,LIMITED,EARLIEST,41600.0,1657400.0,1699000.0,4.133524348239478,2,0,-0.31682703590706407,-50.0,
135224002065681560,11853018249527024046,simulations/instances/instance_135224002065681560.csv,1,MAX,0.8,LIMITED,EARLIEST,41600.0,1657400.0,1699000.0,4.133524348239478,2,0,-0.31682703590706407,-50.0,
135224002065681560,3682170005221323158,simulations/instances/instance_135224002065681560.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,62400.0,1658200.0,1720600.0,1.4931066673259703,14,0,0.9504811077211923,250.0,
135224002065681560,3682170005221323158,simulations/instances/instance_135224002065681560.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,62400.0,1658200.0,1720600.0,1.4931066673259703,14,0,0.9504811077211923,250.0,
15681825288749210743,5196372626491904978,simulations/instances/instance_15681825288749210743.csv,10,AVG,0.8,LIMITED,AVERAGE_SCENARIO,83200.0,1778200.0,1861400.0,19.289215006628602,17,16,0.7796426637791012,41.66666666666667,inf
15681825288749210743,5196372626491904978,simulations/instances/instance_15681825288749210743.csv,10,AVG,0.8,LIMITED,AVERAGE_SCENARIO,83200.0,1778200.0,1861400.0,19.289215006628602,17,16,0.7796426637791012,41.66666666666667,inf
17870085318395153772,5561170299539058897,simulations/instances/instance_17870085318395153772.csv,1,AVG,0.8,LIMITED,AVERAGE_SCENARIO,46400.0,1799000.0,1845400.0,0.2798172672871011,10,0,-0.43163914967087513,-37.5,
17870085318395153772,5561170299539058897,simulations/instances/instance_17870085318395153772.csv,1,AVG,0.8,LIMITED,AVERAGE_SCENARIO,46400.0,1799000.0,1845400.0,0.2798172672871011,10,0,-0.43163914967087513,-37.5,
6096551986938506664,8458567209427351674,simulations/instances/instance_6096551986938506664.csv,2,AVG,0.8,LIMITED,EARLIEST,88000.0,1830000.0,1918000.0,1.6611862508174338,12,0,-1.0524143623607098,-42.857142857142854,
6096551986938506664,8458567209427351674,simulations/instances/instance_6096551986938506664.csv,2,AVG,0.8,LIMITED,EARLIEST,88000.0,1830000.0,1918000.0,1.6611862508174338,12,0,-1.0524143623607098,-42.857142857142854,
4929011461548171347,6151783935365101315,simulations/instances/instance_4929011461548171347.csv,10,AVG,0.8,LIMITED,AVERAGE_SCENARIO,82800.0,1830800.0,1913600.0,22.866951446857072,33,27,0.747604506686322,73.68421052631578,inf
